variant,condition,fish_id,flagged
legacy-nominal,control,20221115_09,False
legacy-nominal,control,20221116_02,False
legacy-nominal,control,20221117_04,True
legacy-nominal,control,20221118_03,False
legacy-nominal,control,20221122_05,False
legacy-nominal,control,20221122_08,False
legacy-nominal,control,20221122_11,False
legacy-nominal,control,20221123_01,False
legacy-nominal,control,20221123_04,False
legacy-nominal,control,20221123_07,False
legacy-nominal,control,20221124_09,False
legacy-nominal,control,20240607_02,False
legacy-nominal,control,20240610_08,False
legacy-nominal,control,20240611_05,False
legacy-nominal,control,20240612_07,False
legacy-nominal,control,20240613_01,False
legacy-nominal,control,20240618_01,False
legacy-nominal,control,20240618_07,False
legacy-nominal,control,20240620_06,False
legacy-nominal,control,20240624_03,False
legacy-nominal,control,20240624_06,True
legacy-nominal,control,20240625_04,False
legacy-nominal,control,20240625_08,False
legacy-nominal,control,20240626_01,False
legacy-nominal,control,20240702_02,False
legacy-nominal,control,20240702_05,False
legacy-nominal,control,20240703_07,False
legacy-nominal,control,20240703_09,False
legacy-nominal,delay,20221115_04,False
legacy-nominal,delay,20221115_07,True
legacy-nominal,delay,20221116_06,False
legacy-nominal,delay,20221116_12,False
legacy-nominal,delay,20221118_04,True
legacy-nominal,delay,20221122_03,True
legacy-nominal,delay,20221122_06,False
legacy-nominal,delay,20221122_12,False
legacy-nominal,delay,20221123_02,False
legacy-nominal,delay,20221123_08,False
legacy-nominal,delay,20221124_07,False
legacy-nominal,delay,20221124_10,False
legacy-nominal,delay,20240607_01,False
legacy-nominal,delay,20240610_07,False
legacy-nominal,delay,20240612_08,False
legacy-nominal,delay,20240613_02,False
legacy-nominal,delay,20240618_02,False
legacy-nominal,delay,20240618_08,False
legacy-nominal,delay,20240620_05,False
legacy-nominal,delay,20240621_03,True
legacy-nominal,delay,20240624_04,False
legacy-nominal,delay,20240624_05,False
legacy-nominal,delay,20240625_03,False
legacy-nominal,delay,20240625_07,False
legacy-nominal,delay,20240626_02,False
legacy-nominal,delay,20240702_01,False
legacy-nominal,delay,20240702_06,False
legacy-nominal,delay,20240703_08,True
legacy-nominal,delay,20240703_10,False
legacy-new,control,20221115_09,False
legacy-new,control,20221116_02,False
legacy-new,control,20221117_04,True
legacy-new,control,20221118_03,False
legacy-new,control,20221122_05,False
legacy-new,control,20221122_08,False
legacy-new,control,20221122_11,False
legacy-new,control,20221123_01,False
legacy-new,control,20221123_04,False
legacy-new,control,20221123_07,False
legacy-new,control,20221124_09,False
legacy-new,control,20240607_02,False
legacy-new,control,20240610_08,False
legacy-new,control,20240611_05,True
legacy-new,control,20240612_07,False
legacy-new,control,20240613_01,False
legacy-new,control,20240618_01,False
legacy-new,control,20240618_07,False
legacy-new,control,20240620_06,False
legacy-new,control,20240624_03,False
legacy-new,control,20240624_06,False
legacy-new,control,20240625_04,False
legacy-new,control,20240625_08,False
legacy-new,control,20240626_01,False
legacy-new,control,20240702_02,False
legacy-new,control,20240702_05,False
legacy-new,control,20240703_07,False
legacy-new,control,20240703_09,False
legacy-new,delay,20221115_04,False
legacy-new,delay,20221115_07,True
legacy-new,delay,20221116_06,False
legacy-new,delay,20221116_12,False
legacy-new,delay,20221118_04,False
legacy-new,delay,20221122_03,True
legacy-new,delay,20221122_06,False
legacy-new,delay,20221122_12,False
legacy-new,delay,20221123_02,False
legacy-new,delay,20221123_08,False
legacy-new,delay,20221124_07,False
legacy-new,delay,20221124_10,False
legacy-new,delay,20240607_01,False
legacy-new,delay,20240610_07,False
legacy-new,delay,20240612_08,False
legacy-new,delay,20240613_02,False
legacy-new,delay,20240618_02,True
legacy-new,delay,20240618_08,False
legacy-new,delay,20240620_05,False
legacy-new,delay,20240621_03,True
legacy-new,delay,20240624_04,False
legacy-new,delay,20240624_05,True
legacy-new,delay,20240625_03,False
legacy-new,delay,20240625_07,False
legacy-new,delay,20240626_02,False
legacy-new,delay,20240702_01,False
legacy-new,delay,20240702_06,False
legacy-new,delay,20240703_08,True
legacy-new,delay,20240703_10,False
legacy-improved,control,20221115_09,False
legacy-improved,control,20221116_02,False
legacy-improved,control,20221117_04,False
legacy-improved,control,20221118_03,False
legacy-improved,control,20221122_05,False
legacy-improved,control,20221122_08,False
legacy-improved,control,20221122_11,False
legacy-improved,control,20221123_01,False
legacy-improved,control,20221123_04,False
legacy-improved,control,20221123_07,False
legacy-improved,control,20221124_09,False
legacy-improved,control,20240607_02,False
legacy-improved,control,20240610_08,False
legacy-improved,control,20240611_05,False
legacy-improved,control,20240612_07,False
legacy-improved,control,20240613_01,False
legacy-improved,control,20240618_01,False
legacy-improved,control,20240618_07,False
legacy-improved,control,20240620_06,True
legacy-improved,control,20240624_03,False
legacy-improved,control,20240624_06,False
legacy-improved,control,20240625_04,False
legacy-improved,control,20240625_08,False
legacy-improved,control,20240626_01,False
legacy-improved,control,20240702_02,False
legacy-improved,control,20240702_05,False
legacy-improved,control,20240703_07,False
legacy-improved,control,20240703_09,False
legacy-improved,delay,20221115_04,False
legacy-improved,delay,20221115_07,False
legacy-improved,delay,20221116_06,False
legacy-improved,delay,20221116_12,False
legacy-improved,delay,20221118_04,False
legacy-improved,delay,20221122_03,True
legacy-improved,delay,20221122_06,False
legacy-improved,delay,20221122_12,False
legacy-improved,delay,20221123_02,False
legacy-improved,delay,20221123_08,False
legacy-improved,delay,20221124_07,False
legacy-improved,delay,20221124_10,False
legacy-improved,delay,20240607_01,False
legacy-improved,delay,20240610_07,False
legacy-improved,delay,20240612_08,False
legacy-improved,delay,20240613_02,True
legacy-improved,delay,20240618_02,True
legacy-improved,delay,20240618_08,False
legacy-improved,delay,20240620_05,False
legacy-improved,delay,20240621_03,True
legacy-improved,delay,20240624_04,False
legacy-improved,delay,20240624_05,False
legacy-improved,delay,20240625_03,False
legacy-improved,delay,20240625_07,False
legacy-improved,delay,20240626_02,False
legacy-improved,delay,20240702_01,False
legacy-improved,delay,20240702_06,False
legacy-improved,delay,20240703_08,True
legacy-improved,delay,20240703_10,False
legacy-wip,control,20221115_09,False
legacy-wip,control,20221116_02,False
legacy-wip,control,20221117_04,False
legacy-wip,control,20221118_03,False
legacy-wip,control,20221122_05,True
legacy-wip,control,20221122_08,False
legacy-wip,control,20221122_11,False
legacy-wip,control,20221123_01,False
legacy-wip,control,20221123_04,False
legacy-wip,control,20221123_07,False
legacy-wip,control,20221124_09,False
legacy-wip,control,20240607_02,False
legacy-wip,control,20240610_08,False
legacy-wip,control,20240611_05,False
legacy-wip,control,20240612_07,True
legacy-wip,control,20240613_01,False
legacy-wip,control,20240618_01,False
legacy-wip,control,20240618_07,False
legacy-wip,control,20240620_06,False
legacy-wip,control,20240624_03,False
legacy-wip,control,20240624_06,False
legacy-wip,control,20240625_04,False
legacy-wip,control,20240625_08,False
legacy-wip,control,20240626_01,False
legacy-wip,control,20240702_02,False
legacy-wip,control,20240702_05,False
legacy-wip,control,20240703_07,False
legacy-wip,control,20240703_09,False
legacy-wip,delay,20221115_04,True
legacy-wip,delay,20221115_07,False
legacy-wip,delay,20221116_06,True
legacy-wip,delay,20221116_12,True
legacy-wip,delay,20221118_04,False
legacy-wip,delay,20221122_03,True
legacy-wip,delay,20221122_06,True
legacy-wip,delay,20221122_12,False
legacy-wip,delay,20221123_02,False
legacy-wip,delay,20221123_08,True
legacy-wip,delay,20221124_07,False
legacy-wip,delay,20221124_10,False
legacy-wip,delay,20240607_01,False
legacy-wip,delay,20240610_07,False
legacy-wip,delay,20240612_08,False
legacy-wip,delay,20240613_02,True
legacy-wip,delay,20240618_02,True
legacy-wip,delay,20240618_08,True
legacy-wip,delay,20240620_05,False
legacy-wip,delay,20240621_03,True
legacy-wip,delay,20240624_04,False
legacy-wip,delay,20240624_05,True
legacy-wip,delay,20240625_03,False
legacy-wip,delay,20240625_07,False
legacy-wip,delay,20240626_02,True
legacy-wip,delay,20240702_01,False
legacy-wip,delay,20240702_06,False
legacy-wip,delay,20240703_08,True
legacy-wip,delay,20240703_10,False
