fish_id,condition_id,trial_number,Fish median response / baseline,Contributing rows
20230227_03,control,5,1.05766530604713,1
20230227_03,control,6,1.1037965243960468,1
20230227_03,control,7,1.030092769389867,1
20230227_03,control,8,1.0029874481028094,1
20230227_03,control,9,1.0311273851211282,1
20230227_03,control,10,0.9793025585542803,1
20230227_03,control,11,1.1349812453475803,1
20230227_03,control,12,1.0520412552520193,1
20230227_03,control,13,1.0615057026732855,1
20230227_03,control,14,1.1129333349151698,1
20230227_03,control,15,1.016337375320127,1
20230227_03,control,16,1.031130730457761,1
20230227_03,control,17,1.0408704433502987,1
20230227_03,control,18,1.0233007040504827,1
20230227_03,control,19,1.040729437236899,1
20230227_03,control,20,0.9748340602451938,1
20230227_03,control,21,0.9915345276276277,1
20230227_03,control,22,1.0064425616792894,1
20230227_03,control,23,1.037848794642021,1
20230227_03,control,24,1.0096403861939742,1
20230227_03,control,25,1.0426159725918944,1
20230227_03,control,26,0.9939166892506404,1
20230227_03,control,27,0.9816903802597963,1
20230227_03,control,28,0.99730640386874,1
20230227_03,control,29,1.0306810937408328,1
20230227_03,control,30,0.9931586647009041,1
20230227_03,control,31,0.9892585729088311,1
20230227_03,control,32,1.0698849992169173,1
20230227_03,control,33,0.995196124143402,1
20230227_03,control,34,0.9494243564410543,1
20230227_03,control,35,1.0331678287016897,1
20230227_03,control,36,1.029015709989526,1
20230227_03,control,37,1.0015210818755322,1
20230227_03,control,38,0.963043546452895,1
20230227_03,control,39,1.0354751208629107,1
20230227_03,control,40,0.990048373719428,1
20230227_03,control,41,1.0202093806503316,1
20230227_03,control,42,1.0160176006891577,1
20230227_03,control,43,1.018124510844728,1
20230227_03,control,44,1.0270999049269096,1
20230227_03,control,45,0.9670444215036154,1
20230227_03,control,46,0.9981217814583945,1
20230227_03,control,47,0.9691730473193357,1
20230227_03,control,48,0.9967252503484657,1
20230227_03,control,49,0.9885980292387293,1
20230227_03,control,50,1.0612052685468707,1
20230227_03,control,51,0.9924983997902045,1
20230227_03,control,52,1.0413832175786242,1
