"experiment_id","recording_id","fish_id","condition_id","technical_valid","technical_exclusion_reason","behavioral_engagement","behavioral_engagement_reason","primary_included","sensitivity_population_ids","review_status","reviewer","reviewed_at","source_qc_artifact_id"
"all3sTrace","20230227_03","20230227_03","control","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230227_03_source_manifest.json"
"all3sTrace","20230227_06","20230227_06","control","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230227_06_source_manifest.json"
"all3sTrace","20230228_02","20230228_02","control","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230228_02_source_manifest.json"
"all3sTrace","20230228_05","20230228_05","control","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230228_05_source_manifest.json"
"all3sTrace","20230228_08","20230228_08","control","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230228_08_source_manifest.json"
"all3sTrace","20230228_11","20230228_11","control","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230228_11_source_manifest.json"
"all3sTrace","20230301_01","20230301_01","control","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230301_01_source_manifest.json"
"all3sTrace","20230301_04","20230301_04","control","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230301_04_source_manifest.json"
"all3sTrace","20230301_07","20230301_07","control","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230301_07_source_manifest.json"
"all3sTrace","20230301_10","20230301_10","control","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230301_10_source_manifest.json"
"all3sTrace","20230302_08","20230302_08","control","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230302_08_source_manifest.json"
"all3sTrace","20230302_09","20230302_09","control","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230302_09_source_manifest.json"
"all3sTrace","20230315_05","20230315_05","control","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230315_05_source_manifest.json"
"all3sTrace","20230315_08","20230315_08","control","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230315_08_source_manifest.json"
"all3sTrace","20230315_10","20230315_10","control","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230315_10_source_manifest.json"
"all3sTrace","20230315_11","20230315_11","control","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230315_11_source_manifest.json"
"all3sTrace","20230316_02","20230316_02","control","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230316_02_source_manifest.json"
"all3sTrace","20230306_01","20230306_01","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230306_01_source_manifest.json"
"all3sTrace","20230306_07","20230306_07","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230306_07_source_manifest.json"
"all3sTrace","20230306_10","20230306_10","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230306_10_source_manifest.json"
"all3sTrace","20230307_03","20230307_03","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230307_03_source_manifest.json"
"all3sTrace","20230307_06","20230307_06","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230307_06_source_manifest.json"
"all3sTrace","20230307_09","20230307_09","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230307_09_source_manifest.json"
"all3sTrace","20230307_12","20230307_12","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230307_12_source_manifest.json"
"all3sTrace","20230309_09","20230309_09","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230309_09_source_manifest.json"
"all3sTrace","20230309_11","20230309_11","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230309_11_source_manifest.json"
"all3sTrace","20230310_02","20230310_02","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230310_02_source_manifest.json"
"all3sTrace","20230310_05","20230310_05","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230310_05_source_manifest.json"
"all3sTrace","20230310_08","20230310_08","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230310_08_source_manifest.json"
"all3sTrace","20230310_11","20230310_11","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230310_11_source_manifest.json"
"all3sTrace","20230314_01","20230314_01","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230314_01_source_manifest.json"
"all3sTrace","20230314_04","20230314_04","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230314_04_source_manifest.json"
"all3sTrace","20230314_06","20230314_06","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230314_06_source_manifest.json"
"all3sTrace","20230314_11","20230314_11","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230314_11_source_manifest.json"
"all3sTrace","20230315_02","20230315_02","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230315_02_source_manifest.json"
"all3sTrace","20230315_06","20230315_06","trace","True","","","","True","[]","approved","Codex-exploratory-all-complete","2026-09-25T11:46:27.492138Z","Metadata/20230315_06_source_manifest.json"
